a,b,c,d,e
1,05-05-2019,Hauisamong Running 2019    ,"ปราจีนบุรี					","half-marathon/mini-marathon/funrun					"
2,05-05-2019,RUN เพลิน เพลิน ปี 2    ,"กรุงเทพมหานครฯ					","mini-marathon/funrun					"
3,05-05-2019,Run for Dek Doi 2019    ,"กรุงเทพมหานครฯ					","mini-marathon/funrun					"
4,05-05-2019,RUN for KING    ,"กรุงเทพมหานครฯ					","mini-marathon					"
5,11-05-2019,ภูมิซรอลวิทยา มินิมาราธอน 2019    ,"ศรีสะเกษ					","mini-marathon/funrun					"
6,11-05-2019,หนองเจ็ดเส้น ไนท์รัน 2019    ,"อ่างทอง					","mini-marathon/funrun					"
7,11-05-2019,CentralFestival Bikini Beach Race 2019    ,"ชลบุรี					","					"
8,11-05-2019,FITT WALK ปีที่ 3    ,"กรุงเทพมหานครฯ					","					"
9,11-05-2019,SeaSide Night Run: Fashion Colourful 2019    ,"เพชรบุรี					","9					"
10,11-05-2019,Takola RUN ตะโกลารัน 2019    ,"พังงา					","12/5/3					"
11,11-05-2019,Wapi 70 Mini Marathon 2019    ,"มหาสารคาม					","10.4/4.2					"
12,12-05-2019,หมอภูเก็ตชวนวิ่ง - Series 3    ,"ภูเก็ต					","15/7					"
13,12-05-2019,"หัวหินมาราธอน 2019    									 										 									 									 										 									 								 ","ประจวบคีรีขันธ์					","5/10/21/42					"
14,12-05-2019,วิ่งการกุศล เรารักหล่อยูง 2019    ,"พังงา					","mini-marathon/funrun					"
15,12-05-2019,วิ่งชมวัง2019    ,"เพชรบุรี					","mini-marathon/funrun					"
16,12-05-2019,วิ่งเพื่อน้อง Run For Child ครั้งที่ 2    ,"สมุทรสงคราม					","mini-marathon/funrun					"
17,12-05-2019,"ลำพยนต์เทรล 2019    									 										 									 									 										 									 								 ","นครสวรรค์					","5/10/21.1					"
18,12-05-2019,ล่นม๊อกม่วน จวนขึ้นดอยคำ 2019    ,"เชียงใหม่					","mini-marathon/funrun					"
19,12-05-2019,บางละมุง anti-drugs coco run 2019    ,"ชลบุรี					","21/10.5/5					"
20,12-05-2019,พระธาตุขิงแกง มินิมาราธอน 2019    ,"พะเยา					","9.5/3.5					"
21,12-05-2019,โรตารีสระบุรี เดิน-วิ่งการกุศล มินิมาราธอน 2019    ,"สระบุรี					","mini-marathon/funrun					"
22,12-05-2019,เดิน-วิ่ง โรงพยาบาลสุโขทัย มินิมาราธอน ครั้งที่1    ,"สุโขทัย					","mini-marathon/funrun					"
23,12-05-2019,เดิน-วิ่งรามาธิบดี 54 ปี เพื่อสถาบันการแพทย์จักรีนฤบดินทร์ 2019 (เลื่อน)   ,"กรุงเทพมหานครฯ					","					"
24,12-05-2019,เดิน-วิ่งการกุศล สโมสรโรตารีสวนจิตรลดา 2019    ,"ชลบุรี					","mini-marathon/funrun					"
25,12-05-2019,AED Run 2019 ก้าวนี้ เพื่อต่อลมหายใจ    ,"นนทบุรี					","10/6					"
26,12-05-2019,AGRO SUPER RUN 2019    ,"สงขลา					","11.1/4.2					"
27,12-05-2019,APM CNX Run 2019    ,"เชียงใหม่					","10.5/4.5					"
28,12-05-2019,Bangkok Airways KRABI Half Marathon 2019    ,"กระบี่					","21/mini-marathon/funrun					"
29,12-05-2019,Give and Run 2019    ,"กรุงเทพมหานครฯ					","mini-marathon/funrun					"
30,12-05-2019,Huaylan Trail 2019    ,"เชียงใหม่					","					"
31,12-05-2019,Huaylan Trail 2019    ,"เชียงใหม่					","					"
32,12-05-2019,Khon Kaen Sports School Mini-half Marathon 2nd 2019    ,"ขอนแก่น					","21/11/6					"
33,12-05-2019,Ned 2019 Mini Marathon Salaya ครั้งที่ 2    ,"นครปฐม					","10.5/5/3					"
34,12-05-2019,Run 4 Dams Half Marathon Series 2019 : สนาม1    ,"ลพบุรี					","21/mini-marathon/funrun					"
35,12-05-2019,Run Fast Stop Stroke 2019    ,"ระยอง					","mini-marathon/funrun					"
36,12-05-2019,"Run For ""ฟัน"" 2019    ","ขอนแก่น					","11/3.85					"
37,12-05-2019,Run for Nurse 2019    ,"กรุงเทพมหานครฯ					","mini-marathon/funrun					"
38,12-05-2019,Run for the church 2019    ,"จันทบุรี					","mini-marathon/funrun					"
39,12-05-2019,Run Fun Fund 2019 วิ่งสนุก ..ปลูกปัญญา    ,"นครปฐม					","100/5/3					"
40,12-05-2019,Saard Mini Marathon 2019    ,"ชุมพร					","mini-marathon/funrun					"
41,12-05-2019,Udonthani Half Marathon 2019    ,"อุดรธานี					","					"
42,12-05-2019,Ultraman RUN 2019    ,"ชลบุรี					","16/12/6/3					"
43,18-05-2019,วิ่งวิสาขบูชาพัทลุง 2562    ,"พัทลุง					","3					"
44,18-05-2019,เดิน-วิ่งสมาธิ วิสาขพุทธบูชา ครั้งที่ 18    ,"เชียงใหม่					","4.5					"
45,18-05-2019,Sattahip sundown run 2019    ,"ชลบุรี					","21/mini-marathon/funrun					"
46,19-05-2019,ภูผาม่าน ฮาล์ฟ มาราธอน 2019    ,"ขอนแก่น					","21/10/4					"
47,19-05-2019,มหาวชิราวุธ เดิน-วิ่งการกุศล 2563    ,"สงขลา					","10.5/4					"
48,19-05-2019,"วิ่งรอบกว๊านพะเยา 2019    									 										 									 									 										 									 								 ","พะเยา					","10/26					"
49,19-05-2019,วิ่งเพื่อบ้านปลอดบุหรี่ 2019    ,"ตรัง					","7					"
50,19-05-2019,สุภาพบุรุษออมสิน 36 ชวนวิ่ง 2019    ,"ระยอง					","mini-marathon/funrun					"
51,19-05-2019,สจว. มินิมาราธอน 2562 (ครั้งที่ 2)   ชิงถ้วยพระราชทาน สมเด็จพระเทพรัตนราชสุดาฯ สยามบรมราชกุมารี   ,"กรุงเทพมหานครฯ					","mini-marathon/funrun					"
52,19-05-2019,สามัคคีมินิมาราธอน 2019 “วิ่งได้บุญ หนุนการศึกษา” 2019    ,"ราชบุรี					","11.3/4.3					"
53,19-05-2019,ผู้ว่า พาเสือวิ่ง มินิมาราธอน 2019    ,"ร้อยเอ็ด					","mini-marathon/funrun					"
54,19-05-2019,"บ้านมุง เนินมะปราง มาราธอน 2019    									 										 									 									 										 									 								 ","พิษณุโลก					","42/21/mini-marathon/funrun					"
55,19-05-2019,พิชิตเนินพิศวง เขาอีโต้ Mini Marathon 2019    ,"ปราจีนบุรี					","14/5/3					"
56,19-05-2019,เดิน-วิ่ง วันวิสา ภูเก็ต 2019    ,"ภูเก็ต					","6/3					"
57,19-05-2019,เดิน-วิ่ง เอ็กซ์เอ็มบีเอ ธรรมศาสตร์     ,"กรุงเทพมหานครฯ					","10/4					"
58,19-05-2019,เดิน-วิ่ง เฉลิมพระเกียรติสมเด็จพระเจ้าอยู่หัวมหาวชิราลงกรณ บดินทรเทพยวรางกูร    ,"หนองคาย					","21/14/5.5					"
59,19-05-2019,เดิน-วิ่งปากช่องวิสาขะมินิมาราธอน 2562    ,"นครราชสีมา					","9/4.5					"
60,19-05-2019,เดิน-วิ่งรามาธิบดี 54 ปี เพื่อสถาบันการแพทย์จักรีนฤบดินทร์ 2019    ,"กรุงเทพมหานครฯ					","					"
61,19-05-2019,เดิน-วิ่งการกุศล วิ่ง กะ กะ เกษตร รำไพพรรณี 2019    ,"จันทบุรี					","mini-marathon/funrun					"
62,19-05-2019,แก่งกระเบามินิมาราธอน 2019    ,"มุกดาหาร					","10.2/6.7					"
63,19-05-2019,Ko Kut Run Fun Around 2019    ,"					","26/mini-marathon/funrun.5					"
64,19-05-2019,Mueang Ubon Half Marathon 2019    ,"อุบลราชธานี					","21.5/10/4.5					"
65,19-05-2019,MVSK Charity RUN 2019    ,"สงขลา					","10/4					"
66,19-05-2019,PAT Mini Marathon 2019    ,"กรุงเทพมหานครฯ					","mini-marathon/funrun					"
67,19-05-2019,SME รวมพลคนตัวเล็ก 2019    ,"นครปฐม					","					"
68,19-05-2019,Supersports 10 Mile International Run 2019 - Bangkok    ,"กรุงเทพมหานครฯ					","10ไมล์/5ไมล์					"
69,19-05-2019,TBS X-MBA RUN 2019    ,"กรุงเทพมหานครฯ					","10/4					"
70,19-05-2019,"Western Forest trail 2019    									 										 									 									 										 									 								 ","กาญจนบุรี					","55/27/14					"
71,25-05-2019,20th Amari Watergate Bangkok Charity Midnight Run 2019    ,"กรุงเทพมหานครฯ					","12/6					"
72,25-05-2019,คนแจ้ห่มสุขภาพดี มินิมาราธอน 2019    ,"ลำปาง					","10/2.6					"
73,25-05-2019,วิ่งให้ใจไปกับ Haier    ,"กรุงเทพมหานครฯ					","9.5/4.5					"
74,25-05-2019,สพม.๓๓ Half Marathon 2019    ,"สุรินทร์					","21/mini-marathon/funrun					"
75,25-05-2019,Evening Glow Rave and Run 2019    ,"ชลบุรี					","mini-marathon/funrun					"
76,25-05-2019,Excise Mini Marathon 2019 Rim Khong Nong Khai    ,"หนองคาย					","11.47/5.13					"
77,25-05-2019,NEON WEON Summer Running Festival 2019    ,"เพชรบุรี					","mini-marathon/funrun					"
78,25-05-2019,Run For You 2019 : ขอนแก่น    ,"ขอนแก่น					","mini-marathon/funrun					"
79,25-05-2019,Running วัด วัง วิว @บางปะอิน 2019    ,"พระนครศรีอยุธยา					","mini-marathon/funrun					"
80,25-05-2019,Toa Venture Holding Charity Run 2019    ,"กรุงเทพมหานครฯ					","mini-marathon/funrun					"
81,26-05-2019,20th Amari Watergate Bangkok Charity Midnight Run 2019    ,"กรุงเทพมหานครฯ					","12/6					"
82,26-05-2019,อ่างทอง มินิ-ฮาล์ฟ มาราธอน 2019    ,"อ่างทอง					","21.1/10.5/5					"
83,26-05-2019,มะอึ รัน ฟอร์ ไลฟ์ 2019    ,"ร้อยเอ็ด					","10/3.5					"
84,26-05-2019,หาดใหญ่มาราธอน ครั้งที่ 13    ,"สงขลา					","42.195/21.1/10.5/4					"
85,26-05-2019,หนึ่งคนหนึ่งก้าว ด้วยความดีแห่งศีล 5 เพื่อชาวนครชัยศรี    ,"นครปฐม					","21/10.5/5/3					"
86,26-05-2019,วิ่งชมเมืองเก่า เอาบุญบั้งไฟ ไทศรีภูมิ     ,"ร้อยเอ็ด					","10.5/5/3.5					"
87,26-05-2019,วิ่งเพื่อชีวิต มินิมาราธอน ครั้งที่ 1    ,"พิษณุโลก					","12/5					"
88,26-05-2019,วิ่งให้ใจกับ Haier 2019    ,"กรุงเทพมหานครฯ					","9/4					"
89,26-05-2019,สีชมพูมินิมาราธอน 2019    ,"ขอนแก่น					","mini-marathon/funrun					"
90,26-05-2019,นกขมิ้น Run Run Run 2019    ,"					","10/4					"
91,26-05-2019,พาลูกวิ่งดะ Obstacle Challenge 2019    ,"ชลบุรี					","3.2/2.5					"
92,26-05-2019,เมืองคนดี Charity daytime 2019    ,"สุราษฎร์ธานี					","14/4					"
93,26-05-2019,เดิน วิ่ง ปั่น เพื่อชีวิตใหม่    ,"นนทบุรี					","mini-marathon/funrun/2.4					"
94,26-05-2019,เดิน-วิ่งคนละก้าวเพื่ออุปกรณ์การแพทย์ (สโมสรโรตารีกรุงเทพนวมินทร    ,"สมุทรปราการ					","mini-marathon/funrun					"
95,26-05-2019,เดินวิ่งชมเขื่อนเยือนถิ่นสมเด็จโต3    ,"พระนครศรีอยุธยา					","13/5/3.5					"
96,26-05-2019,Cavalry Cross Country Half marathon 2019    ,"สระบุรี					","5/10/21.1					"
97,26-05-2019,"Fruit Fit Fun    									 										 									 									 										 									 								 ","ระยอง					","3.5/13/21					"
98,26-05-2019,Hi Calcium Run 2019    ,"กรุงเทพมหานครฯ					","mini-marathon/funrun					"
99,26-05-2019,Kilorun Bangkok 2019    ,"กรุงเทพมหานครฯ					","mini-marathon/funrun					"
100,26-05-2019,Korat Zoo Family Run 2019    ,"นครราชสีมา					","mini-marathon/funrun					"
101,26-05-2019,Lahansai Running - วิ่งละหานทราย 2019    ,"บุรีรัมย์					","13/5					"
102,26-05-2019,NONO fun run 2019    ,"					","					"
103,26-05-2019,One Love Charity Run Presented by PMC Medical Campus    ,"กรุงเทพมหานครฯ					","12.7/4					"
104,26-05-2019,Rajapruk-Mahidol Super Mini Marathon 2019    ,"นครปฐม					","15/mini-marathon/funrun					"
105,26-05-2019,RMUTL Half Marathon : Run with ME. 2019    ,"เชียงใหม่					","21/13/5					"
106,26-05-2019,Run for Fort Adison Hospital 2019    ,"สระบุรี					","mini-marathon/funrun					"
107,26-05-2019,Skechers Friendship WALK 2019    ,"กรุงเทพมหานครฯ					","5					"
108,26-05-2019,Thaimueng Half Marathon 2019    ,"พังงา					","21.1/10/3					"
109,26-05-2019,The Singha Obstacle Trail Series 2019 Khao Ito    ,"ปราจีนบุรี					","21/14/7/3					"
110,31-05-2019,CAT SLAVE Virtual Run    ,"					","10					"
111,01-06-2019,หนองปลามันมินิมาราธอน 2019    ,"เชียงใหม่					","9.7/6					"
112,01-06-2019,“RUN TOGETHER” SAY NO TO DRUGS    ,"เชียงใหม่					","10.5/3.5					"
113,01-06-2019,ไออาร์พีซี-นาตาขวัญ ซุปเปอร์มินิมาราธอน ครั้งที่ 1    ,"ระยอง					","12/5					"
114,02-06-2019,องค์การบริหารส่วนจังหวัดลำปาง-เกาะคา มินิมาราธอน 2019    ,"ลำปาง					","					"
115,02-06-2019,อบจ.ลำปาง - เกาะคา มินิมาราธอน 2562    ,"ลำปาง					","10/6/2					"
116,02-06-2019,วิ่ง 911 ณ หาดทรายแก้ว 2019    ,"ชลบุรี					","23/mini-marathon/funrun					"
117,02-06-2019,วิ่งสร้างบุญ 2019    ,"นนทบุรี					","10/3					"
118,02-06-2019,ตะแบกบาน มินิมาราธอน-ฟันรัน ครั้งที่1    ,"พัทลุง					","					"
119,02-06-2019,สพป.ขอนแก่น เขต 1    ,"ขอนแก่น					","10.8/5.8					"
120,02-06-2019,พุทไธสงมินิมาราธอน 2019    ,"บุรีรัมย์					","mini-marathon/funrun					"
121,02-06-2019,พลวงทองเทรล 2019    ,"ชลบุรี					","25/10/6					"
122,02-06-2019,เขาพระ มินิมาราธอน 2019    ,"ลพบุรี					","mini-marathon/funrun					"
123,02-06-2019,เดิน-วิ่งการกุศล “ก้าวที่ ๑๐๐ Rn Mini Marathon”    ,"นครปฐม					","mini-marathon/funrun					"
124,02-06-2019,"แม่กำปองเทรล    									 										 									 									 										 									 								 ","เชียงใหม่					","5/15/30/40					"
125,02-06-2019,ACR Alumni mini-marathon 2019    ,"ระยอง					","mini-marathon/funrun					"
126,02-06-2019,Bangkok Airways Samui Half Marathon 2019    ,"สุราษฎร์ธานี					","21/mini-marathon/funrun					"
127,02-06-2019,Hin Poeng Trail หินเพิงเทรล มินิ-ฮาล์ฟ มาราธอน 2019    ,"ปราจีนบุรี					","25/15/5					"
128,02-06-2019,Lions Phuket Mini Marathon 2019    ,"ภูเก็ต					","10.5/5.4					"
129,02-06-2019,Prachuap Run for Love 2019    ,"ประจวบคีรีขันธ์					","mini-marathon/funrun					"
130,02-06-2019,Run for Love วิ่งด้วยกันปันน้ำใจให้น้อง 2019    ,"เชียงใหม่					","10/4					"
131,02-06-2019,Run for the Ocean 2019    ,"กรุงเทพมหานครฯ					","mini-marathon/funrun/2					"
132,02-06-2019,Run Forest Run ป่าน้อยร้อยป่าใหญ่ (เขาใหญ่)    ,"นครราชสีมา					","					"
133,08-06-2019,Laguna Phuket Marathon 2019    ,"ภูเก็ต					","mini-marathon/funrun					"
134,08-06-2019,Sunset RUN    ,"เพชรบุรี					","10/4.5					"
135,09-06-2019,เมืองเจียงฮาย อีเกิ้ลรัน มินิ-ฮาล์ฟ มาราธอน 2019    ,"เชียงราย					","21/10.5/5					"
136,09-06-2019,90ปี ซุ่งข่าหวาเฉียวกงเสวี๊ยะ มินิมาราธอน ครั้งที่1    ,"สงขลา					","10.5/4					"
137,09-06-2019,มิตรผล Run for You 2019    ,"สิงห์บุรี					","mini-marathon/funrun.5					"
138,09-06-2019,วิ่ง ก้าว เดิน เพลินเพื่อน้อง ๕๐ ปี ไทยรัฐวิทยา ๑    ,"ลพบุรี					","11.5/5/3					"
139,09-06-2019,วิ่งด้วยกันแบ่งปันให้น้อง ครั้งที่ 1    ,"สุราษฎร์ธานี					","10.5/4.5					"
140,09-06-2019,วิ่งตามรอยเสด็จประพาสต้น รัชกาลที่ ๕ ครั้งที่ ๑    ,"นครสวรรค์					","22/mini-marathon/funrun					"
141,09-06-2019,วิ่งสานฝันปันรัก ครั้งที่ 1    ,"นครศรีธรรมราช					","10/3.5					"
142,09-06-2019,วิ่งบางปู 2019    ,"สมุทรปราการ					","mini-marathon/funrun					"
143,09-06-2019,"วังน้ำเขียว มาราธอนภูเขานานาชาติ     									 										 									 									 										 									 								 ","นครราชสีมา					","5/10.5/21.1/42.195					"
144,09-06-2019,"ลากูน่าภูเก็ตมาราธอนนานาชาติ 2019    									 										 									 									 										 									 								 ","ภูเก็ต					","5/10/21/42					"
145,09-06-2019,นาโพธิ์ มินิมาราธอน 2019    ,"บุรีรัมย์					","mini-marathon/funrun					"
146,09-06-2019,เดิน-วิ่ง แต้จิ๋ว มินิมาราธอน ครั้งที่ 7    ,"กรุงเทพมหานครฯ					","11/4					"
147,09-06-2019,Lampang Rajabhat mini Marathon “มาลำปาง ไม่ลำพัง”    ,"ลำปาง					","mini-marathon/funrun					"
148,09-06-2019,Pathumthani Charity Walk and Run 2019    ,"ปทุมธานี					","mini-marathon/funrun					"
149,09-06-2019,Reunion Run รวมพล คนจักรคำ 115 ปี    ,"ลำพูน					","mini-marathon/funrun					"
150,09-06-2019,Run For Nature 2019    ,"นครราชสีมา					","mini-marathon/funrun					"
151,09-06-2019,RUN for You 2019    ,"สิงห์บุรี					","mini-marathon/funrun					"
152,09-06-2019,RUN PAN SUK 2019    ,"กรุงเทพมหานครฯ					","mini-marathon/funrun					"
153,09-06-2019,"Sawangprateep Run ""ก้าวนี้ต่อชีวิต"" 2019    ","ชลบุรี					","mini-marathon/funrun					"
154,09-06-2019,Science Fund Run 2019 @kmitl    ,"กรุงเทพมหานครฯ					","10/3					"
155,09-06-2019,Social Sciences Social Run 2019    ,"กรุงเทพมหานครฯ					","mini-marathon/funrun					"
156,09-06-2019,Tiger Balm Trail Challenge 2019 Pattaya    ,"ชลบุรี					","21/16/8/3					"
157,15-06-2019,เดิน–วิ่งฉลองสะพานมโนรมย์    ,"ชัยนาท					","mini-marathon/funrun					"
158,15-06-2019,RUN 4 U Half Marathon Charity 2019 ศูนย์กีฬาทางน้ำบึงหนองบอน    ,"กรุงเทพมหานครฯ					","21/mini-marathon/funrun.6					"
159,15-06-2019,The MOON 100 Phangan Thailand    ,"สุราษฎร์ธานี					","103/62/32/15					"
160,16-06-2019,มหกรรมเดินวิ่ง เพื่อคนพิการ 2019    ,"สิงห์บุรี					","10.5/5/3					"
161,16-06-2019,ดอกบัวคู่ มินิ-ฮาล์ฟ มาราธอน 2562    ,"กรุงเทพมหานครฯ					","21.1/10.5/5					"
162,16-06-2019,วิ่งอโยธยา พระมหาวีรกระษัตรีศรีสุริโยทัย ภาคจบบริบูรณ์    ,"พระนครศรีอยุธยา					","21/10.5/5/3					"
163,16-06-2019,วิ่งปองดอง โรงเรียนบ้านโฮ่งมินิมาราธอนรีไซเคิล ครั้งที่2    ,"เชียงราย					","10.5/4.5					"
164,16-06-2019,วิ่งบางปู 2019    ,"สมุทรปราการ					","mini-marathon/funrun					"
165,16-06-2019,วิ่งแหวกทะเล สู่เกาะพิทักษ์    ,"ชุมพร					","3/14					"
166,16-06-2019,"ลานสกามาราธอน 2019    									 										 									 									 										 									 								 ","นครศรีธรรมราช					","3.5/10/42					"
167,16-06-2019,พิกุลทองมินิมาราธอน- ฟันรัน ครั้งที่ 1    ,"พัทลุง					","10/4					"
168,16-06-2019,พลศึกษาพาวิ่ง PE KKU 2019    ,"ขอนแก่น					","10					"
169,16-06-2019,เดิน-วิ่ง การกุศล DIANA Mini Marathon 2019    ,"สงขลา					","10/4					"
170,16-06-2019,Back to Bodin2 Run 2019    ,"					","					"
171,16-06-2019,Bangkok Post International Mini Marathon ครั้งที่ 11    ,"กรุงเทพมหานครฯ					","					"
172,16-06-2019,Chanthaburi Scenic ½ Marathon 2019    ,"จันทบุรี					","21/mini-marathon/funrun					"
173,16-06-2019,Coffee RUN ปี 2    ,"นครปฐม					","mini-marathon/funrun					"
174,16-06-2019,Dow Charity Run 2019    ,"กรุงเทพมหานครฯ					","5					"
175,16-06-2019,GEAR BUU RUN Fun Together 2019    ,"ชลบุรี					","mini-marathon/funrun/2.5					"
176,16-06-2019,"Kaopratub chang trail 2019    									 										 									 									 										 									 								 ","ราชบุรี					","10/21/32/50					"
177,16-06-2019,Lipe Minimarathon 2019    ,"สตูล					","10/4					"
178,16-06-2019,Olympic DAY 2019    ,"กรุงเทพมหานครฯ					","					"
179,16-06-2019,Run for Bok Bok 2019    ,"กรุงเทพมหานครฯ					","mini-marathon/funrun					"
180,16-06-2019,Running Slope CMU 2019    ,"เชียงใหม่					","					"
181,16-06-2019,"Scenic half marathon 2019    									 										 									 									 										 									 								 ","จันทบุรี					","3/5/10/21					"
182,16-06-2019,Thachana Love Run 2019    ,"สุราษฎร์ธานี					","10.5/4.5					"
183,16-06-2019,Toshiba RUN 2019 - Ubon Ratchathani    ,"อุบลราชธานี					","21/mini-marathon/funrun					"
184,16-06-2019,TU ECON RUN 2019    ,"ปทุมธานี					","mini-marathon/funrun					"
185,22-06-2019,85 ปี TU RUNNING วิ่งการกุศล    ,"ปทุมธานี					","mini-marathon/funrun.5					"
186,22-06-2019,วิ่งสุไหงตำมะลัง มินิมาราธอน ครั้งที่ 2    ,"สตูล					","10.5/4.5					"
187,22-06-2019,Green & Low Carbon Run (วิ่งลดโลกร้อน)    ,"กรุงเทพมหานครฯ					","mini-marathon/funrun					"
188,23-06-2019,วิ่งอาสาสุข 2019    ,"สงขลา					","10/4.2					"
189,23-06-2019,วิ่งมินิมาราธอน ต่อต้านยาเสพติด    ,"นครปฐม					","10.5/5					"
190,23-06-2019,นายดอก นายทองแก้ว มินิมาราธอน 2019    ,"อ่างทอง					","mini-marathon/funrun					"
191,23-06-2019,เดิน - วิ่ง เพื่อสุขภาพราชบุรี ปี 2562     ,"ราชบุรี					","10/3					"
192,23-06-2019,เดินวิ่ง-ไหว้พระธาตุเจดีย์ศรีทอง ครั้งที่ 10    ,"ชลบุรี					","12/5					"
193,23-06-2019,Beaver Run Khao Chamao half marathon 2019    ,"ระยอง					","21/10.5/5					"
194,23-06-2019,Krabi Hospital Mini Half Marathon 2019    ,"กระบี่					","21/mini-marathon/funrun					"
195,23-06-2019,Lamphun Hospital Mini Marathon 2019    ,"ลำพูน					","mini-marathon/funrun					"
196,23-06-2019,LIONS RUN 2019    ,"นนทบุรี					","mini-marathon/funrun					"
197,23-06-2019,Monnang Mini Marathon 2019    ,"ชลบุรี					","12/5					"
198,23-06-2019,Nostalgia Run 2019    ,"กาญจนบุรี					","10/3					"
199,23-06-2019,"Ultra-Trail Khaokho 2019    									 										 									 									 										 									 								 ","เพชรบูรณ์					","10/20/30/60					"
200,23-06-2019,UTAC Thai Charity Run 2019    ,"กรุงเทพมหานครฯ					","mini-marathon/funrun					"
201,29-06-2019,วิ่งครั้งนี้ เพื่อคืนเด็กดีสู่สังคม 2019    ,"เชียงราย					","12/5					"
202,30-06-2019,ศิริราช เดิน-วิ่ง ครั้งที่ 13     ,"					","					"
203,30-06-2019,อินจันมินิมาราธอน #1 “เธอกับฉันวิ่งกันนิรันดร”    ,"สมุทรสงคราม					","mini-marathon/funrun/2.3					"
204,30-06-2019,ทุ่งสงมาราธอน 2019    ,"นครศรีธรรมราช					","42/10/4					"
205,30-06-2019,วิ่งเพื่อน้อง Running for the Younger Minimarathon 1    ,"อุตรดิตถ์					","mini-marathon/funrun					"
206,30-06-2019,สันติสุขฮาล์ฟมาราธอน 2019    ,"เชียงใหม่					","21/mini-marathon/funrun/2					"
207,30-06-2019,เดิน – วิ่ง สานฝัน ปันรัก เพื่อน้อง ครั้งที่ 1    ,"มหาสารคาม					","mini-marathon/funrun					"
208,30-06-2019,เดิน-วิ่งการกุศลโรงพยาบาลสงขลา     ,"สงขลา					","12/5					"
209,30-06-2019,CPF Vet Run 2019    ,"สงขลา					","10/4					"
210,30-06-2019,Friends for Life Charity Run 2019    ,"นครปฐม					","mini-marathon/funrun					"
211,30-06-2019,"Peak Mountain Ultra trail 2019    									 										 									 									 										 									 								 ","ระยอง					","5/10/15/36					"
212,30-06-2019,"Sukhothai Marathon 2019    									 										 									 									 										 									 								 ","สุโขทัย					","5/10/21/42					"
213,30-06-2019,TILI Virtual Running BLIND    ,"					","					"
